INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING
#序号	预设键	预设名	说明	Boss模式	道具模式	RunDirector模式	平台模式	难度模式	起始高度	初始蓄力	Boss刷新方式	备注
#Id	PresetId	Name	Description	BossMode	PickupMode	RunDirectorMode	PlatformMode	DifficultyMode	StartHeight	InitialChargeMode	BossSpawnMode	Notes
1	clean_room	纯净场景	关闭Boss、道具、事件和特殊平台，只保留基础跳跃循环	off	off	off	off	frozen	0	empty	normal	最干净的手感基线
2	top_boss_only	只测上方Boss	只生成空投Boss，保留Boss投掷道具	top_only	boss_only	off	off	frozen	500	full	immediate	上方压迫与空投节奏测试
3	bottom_boss_only	只测下方Boss	只生成跳扑Boss，不生成道具	bottom_only	off	off	off	frozen	500	full	immediate	下方追击和撞击测试
4	positive_pickups_only	只出正向道具	关闭Boss和事件，只保留正面拾取物	off	positive_only	off	off	frozen	500	half	normal	收益和时长测试
5	negative_pickups_only	只出负面道具	关闭Boss和事件，只保留负面拾取物	off	negative_only	off	off	frozen	1500	half	normal	规避和负面反馈测试
6	run_director_only	只测runDirector	只保留增益、目标和主题事件	off	off	normal	off	frozen	1000	half	normal	事件链路与UI测试
7	platform_special_only	只测平台特性	关闭Boss和事件，只测试平台与特殊平台效果	off	off	off	normal	frozen	800	empty	normal	平台手感测试
8	buffs_only	只测三选一增益	关闭Boss、道具和平台特性，只保留增益弹窗	off	off	buffs_only	off	frozen	600	empty	normal	三选一出现与领取测试
9	goals_only	只测随机目标	关闭Boss、道具和平台特性，只保留随机目标	off	off	goals_only	off	frozen	600	half	normal	目标推进和结算测试
10	themes_only	只测主题事件	关闭Boss、道具和平台特性，只保留主题区切换	off	off	themes_only	off	frozen	1000	empty	normal	主题区切换和配色测试
11	moving_platform_only	只测移动平台	关闭Boss、道具和事件，只生成移动平台	off	off	off	moving_only	frozen	800	empty	normal	移动平台走位测试
12	charge_platform_only	只测充能平台	关闭Boss、道具和事件，只生成充能平台	off	off	off	charge_only	frozen	800	empty	normal	充能平台反馈测试
13	resonance_platform_only	只测共鸣平台	关闭Boss、道具和事件，只生成共鸣平台	off	off	off	resonance_only	frozen	1000	empty	normal	共鸣连踩测试
14	risk_platform_only	只测风险平台	关闭Boss、道具和事件，只生成风险平台	off	off	off	risk_only	frozen	1200	empty	normal	窄板与奖励测试
15	top_boss_positive_only	只测上方Boss正面空投	只生成空投Boss，投放仅正面道具	top_only	positive_only	off	off	frozen	800	full	immediate	上方正面空投接取测试
16	top_boss_negative_only	只测上方Boss负面空投	只生成空投Boss，投放仅负面道具	top_only	negative_only	off	off	frozen	1500	full	immediate	上方负面空投规避测试
