INT	STRING	STRING	FLOAT	STRING
#序号	配置键	配置名	数值	说明
#Id	Key	Name	Value	Desc
1	RUN_BASE_COIN	每局基础金币	12	每局结算固定金币
2	SCORE_PER_COIN_EVERY	高度换金币步长	40	每达到多少米结算1金币
3	SCORE_COIN_UNIT	高度金币单位	1	每个高度步长奖励金币
4	COMBO_COIN_UNIT	连跳金币系数	0.5	按最大连跳结算附加金币
5	ENDLESS_REWARD_MULTIPLIER	无尽奖励倍率	1	无尽模式奖励倍率
6	TIME_ATTACK_REWARD_MULTIPLIER	竞速奖励倍率	1.1	竞速模式奖励倍率
7	CHALLENGE_REWARD_MULTIPLIER	闯关奖励倍率	1.2	闯关模式奖励倍率
8	CHALLENGE_CLEAR_BONUS	闯关成功奖励	18	闯关成功额外金币
9	BOSS_DEFAULT_COIN	Boss默认金币	10	Boss未配置掉落时默认金币
10	PLATFORM_COIN_CHANCE_LOW	低层平台金币概率	0.14	低层平台生成金币概率
11	PLATFORM_COIN_CHANCE_MID	中层平台金币概率	0.2	中层平台生成金币概率
12	PLATFORM_COIN_CHANCE_HIGH	高层平台金币概率	0.28	高层平台生成金币概率
13	AIR_COIN_CHANCE	空中金币概率	0.06	空中悬浮金币生成概率
14	PLAYER_COIN_PICKUP_RADIUS	玩家拾取半径	18	玩家额外拾取半径
15	PET_COIN_PICKUP_RADIUS	宠物拾取半径	26	宠物额外拾取半径
16	PET_COIN_SEEK_RADIUS	宠物寻币半径	130	宠物主动靠近金币的距离
17	PET_COIN_COLLECT_INTERVAL_MS	宠物拾币间隔	1000	宠物每次自动获取金币的最小间隔
18	PET_RETURN_RESET_DISTANCE	宠物归位重置距离	24	宠物回到角色附近后立即重置拾币冷却
